category,rating,label,text_,validity
Clothing_Shoes_and_Jewelry_5,5,CG,Granddaughter loves it. Bought boxer briefs for my daughter and she loved them.,1
Clothing_Shoes_and_Jewelry_5,3,CG,I wish the strap was more of a wide width. I normally wear a size 10 and ordered a,1
Clothing_Shoes_and_Jewelry_5,5,CG,"Nice, thick material 10 yr old. The only problem is that it's a little too large for",1
Clothing_Shoes_and_Jewelry_5,5,CG,They are easy to use and have the wide width. I will keep them for the summer and they,1
Clothing_Shoes_and_Jewelry_5,5,CG,Love them!! Great flippies plus they fit well!!Wife loved it.,1
Clothing_Shoes_and_Jewelry_5,5,CG,"Love these, perfect size and style. The only problem is that they are very thin.",1
Clothing_Shoes_and_Jewelry_5,3,CG,"Uncomfortable to wear. Because of that, I bought the third pair.",1
Clothing_Shoes_and_Jewelry_5,4,CG,"i really love this t-shirt, the fabric is thick and thick, and the material is durable",1
Clothing_Shoes_and_Jewelry_5,5,CG,"These are strong and not overly bulky, they feel comfortable and will keep my feet warm.",1
Clothing_Shoes_and_Jewelry_5,5,CG,"Fits very comfortable, i bought a size up.Very comfortable.  I love the style and",1
Clothing_Shoes_and_Jewelry_5,5,CG,Got this for my grandsons wedding. The quality is good and it fits my son well.,1
Clothing_Shoes_and_Jewelry_5,4,CG,Works well enough. Kind of looks like the picture. Very good quality. Nice bag.,1
Clothing_Shoes_and_Jewelry_5,5,CG,One of my favorite tops.  The wide brim makes it a nice fit for the person with extra,1
Clothing_Shoes_and_Jewelry_5,5,CG,Great buy! Fit great! Quality material. The only problem is that it's a little too large,1
Clothing_Shoes_and_Jewelry_5,4,CG,Need to be a size small. The wide width is too narrow. I have a wide foot and,1
Clothing_Shoes_and_Jewelry_5,4,CG,Nice but very very long. Not an easy to find bra but it fits my breasts well. ,1
Clothing_Shoes_and_Jewelry_5,5,CG,Great quality tee and my daughter loves it.Very comfortable.  She wears a size 8 and the,1
Clothing_Shoes_and_Jewelry_5,5,CG,Love love this shirt....and received many compliments.  It is thick enough to cover my belly button,1
Clothing_Shoes_and_Jewelry_5,5,CG,GREAT FOR THE PRICE YOU WILL BE SENDING. I LIKE THE PANTS AND COM,1
Clothing_Shoes_and_Jewelry_5,5,CG,Excellent product.  Good workmanship.  Excellent quality.  Not too thin or too thin.,1
